,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,V_0,T_0
162,163.0,1.0607129319292756,4.5298652838929115e-05,4.109122390001031e-07,1.0,11.492219500936748,0.0338642629715461,0.27097688607691595,10.000000767409801,1.2047460148888585e-07,1000000.0,0.0,25.0,378465.3333333333
163,164.0,1.1043555931790197,4.1157395546559556e-05,4.007427273630001e-07,1.0,10.314620298842087,0.00010002671395542562,0.20410543979504325,38.459096528589725,9.676626895580606e-08,1000000.0,0.0,25.0,616873.3333333334
164,165.0,1.1571712184352867,4.761110172890372e-05,5.17220020662573e-07,1.0,12.073919160551675,0.00010000172686008835,0.17669410323723866,12.134901739656925,1.4050105291558393e-07,1000000.0,0.0,25.0,517910.6666666667
165,166.0,1.160516746456844,4.6236665792776294e-05,4.4782636306424427e-07,1.0,13.589073454242119,0.00010003595526691944,0.18955156359442782,121.52300788462162,3.4555945165873e-10,1000000.0,0.0,25.0,715836.0
166,167.0,1.2354075206752382,8.276729014132506e-05,3.441142283789212e-07,1.0,23.43184934389146,0.052379824494346805,0.30188865664499076,10.008118696510792,1.4944618392924864e-07,1000000.0,0.0,25.0,337982.6666666667
167,168.0,1.033591915419867,2.3832156724833176e-05,4.02102303286577e-07,1.0,2.47861202815902,0.01816312933862335,0.24312071474386698,63.38596384227276,1.6148354451626438e-06,1000000.0,0.0,25.0,477428.0
168,169.0,1.145251167744968,5.0559719576221926e-05,4.0079560498606343e-07,1.0,13.673071854133262,0.06843318067460652,0.303714074991845,10.000002823770046,1.5734338725125635e-07,1000000.0,0.0,25.0,337982.6666666667
169,170.0,1.0598324581101954,4.605644535419099e-05,4.363698468851061e-07,1.0,12.811797951161545,0.006386442828978878,0.23297724791773788,18.58501146733761,1.394977378887195e-07,1000000.0,0.0,25.0,436945.3333333333
170,171.0,0.9591180468664848,4.067577447743187e-05,4.39476543568326e-07,1.0,10.728549451193508,0.0001000487015315743,0.2395698974352527,10.000016167759895,1.908912007787117e-07,1000000.0,0.0,25.0,378465.3333333333
171,172.0,1.160074816238434,5.097692478674326e-05,4.134976862188333e-07,1.0,13.004487740377236,0.00010000291412110007,0.1963052761302464,49.83056279271841,9.109996322492943e-08,1000000.0,0.0,25.0,616873.3333333334
172,173.0,1.141284319734134,4.616594198062109e-05,4.859179398208273e-07,1.0,11.925914163436161,0.00010000220552780492,0.20074776436809572,16.7614878565073,1.436216722520292e-07,1000000.0,0.0,25.0,477428.0
173,174.0,1.040540237346476,4.266549755617452e-05,4.2354484242951355e-07,1.0,11.16989944193734,0.00010000869241949539,0.2288236227893492,65.75840602815151,1.0827525477880836e-07,1000000.0,0.0,25.0,517910.6666666667
174,175.0,1.0851962256636338,2.230064233136882e-05,4.496179749096093e-07,1.0,2.521155155259116,0.030335973096876023,0.26552010755474953,10.000000417232513,1.966874245202796e-06,1000000.0,0.0,25.0,297500.0
175,176.0,1.0584189712025742,4.818747687326398e-05,4.232194359526909e-07,1.0,12.679423923917192,0.00011730069057991344,0.22149213521107214,52.8438905030489,1.1192835670551459e-07,1000000.0,0.0,25.0,517910.6666666667
176,177.0,1.0560020633577776,5.372520546382665e-05,3.976808402651505e-07,1.0,14.142308628177112,0.00010304811300221317,0.2274082360003291,24.70811279863119,1.3760470634369642e-07,1000000.0,0.0,25.0,477428.0
177,178.0,1.0736722263018532,4.795131616795045e-05,4.2884000785619784e-07,1.0,12.038091016143099,0.0001000012805462136,0.18141224908143982,96.53349473327398,3.572435293278716e-10,1000000.0,0.0,25.0,715836.0
178,179.0,1.1683043594555265,2.9318304239904296e-05,5.123937358861237e-07,1.0,7.223331572265089,0.00010000014799077528,0.20474497006573245,10.000015959143639,1.4850272329224772e-07,1000000.0,0.0,25.0,477428.0
179,180.0,1.0602413907510482,5.297040017104602e-05,4.765798019999026e-07,1.0,13.972350871483798,0.021079856169042732,0.21101155529726157,10.000046871602535,1.2093825241595187e-07,1000000.0,0.0,25.0,477428.0
180,181.0,1.1017220292625631,4.159054481761072e-05,4.698410736673624e-07,1.0,10.527384985420092,0.00010006676444851426,0.176667961122547,11.998691514134407,2.088741527267484e-07,1000000.0,0.0,25.0,576390.6666666666
181,182.0,1.2250408032328017,5.8718170822795256e-05,3.7760123421191877e-07,1.0,16.121881415017278,0.0001000118549139839,0.20103723024921294,17.986961737275124,1.8521159034652737e-07,1000000.0,0.0,25.0,576390.6666666666
182,183.0,1.1122764417294004,4.184233701699459e-05,4.584044211163819e-07,1.0,10.09748149729873,0.011532126304008405,0.23506338174255603,10.000002190470695,1.0205681172823443e-07,1000000.0,0.0,25.0,418948.0
183,184.0,1.1681897911852732,4.00804249795443e-05,5.215967550019579e-07,1.0,10.141999613440028,0.00010001005059595558,0.18404898992601915,12.169633761048317,1.606454479849748e-07,1000000.0,0.0,25.0,517910.6666666667
184,185.0,1.0622690426845023,5.207375784548417e-05,3.984295407340145e-07,1.0,14.457234344167993,0.00010000308500990318,0.21233468080102824,51.02084777504206,1.0641992739507768e-07,1000000.0,0.0,25.0,576390.6666666666
185,186.0,1.206822556067504,1.9024745190674967e-05,3.6929614964470675e-07,1.0,2.79132346247831,0.06171444292735229,0.2988053933409276,10.00000623613596,1.514789659234519e-06,1000000.0,0.0,25.0,337982.6666666667
186,187.0,1.1080696586247862,4.189727824670476e-05,3.9663524020947514e-07,1.0,10.092879970443242,0.05512924531087143,0.2876563941405834,10.00000899285078,1.3515880481548018e-07,1000000.0,0.0,25.0,378465.3333333333
187,188.0,1.228150325449129,1.820580800335489e-05,4.851018094586415e-06,1.0,1.2800907709854599,0.03765542855398718,0.26087321737847446,10.000000417232513,1.6917552054285424e-07,1000000.0,0.0,25.0,378465.3333333333
