,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
63,1.5199110829529394e-06,15.9,196354.22040757642,4772905.654205769
64,2.2051307399030503e-06,15.9,196353.89033139957,4772923.303539901
65,3.1992671377973847e-06,15.9,196353.41142326582,4772948.909530356
66,4.641588833612791e-06,15.9,196352.71679041468,4772986.060610355
67,6.7341506577508285e-06,15.9,196351.70876082304,4773039.95817631
68,9.770099572992287e-06,15.9,196350.24644672827,4773118.155204981
69,1.4174741629268077e-05,15.9,196348.12492313157,4773231.603367658
70,2.05651230834866e-05,15.9,196345.0468860711,4773396.192509439
71,2.9836472402833465e-05,15.9,196340.5817637745,4773634.976979644
72,4.328761281083062e-05,15.9,196334.1038559977,4773981.394982766
73,6.280291441834272e-05,15.9,196324.70629846677,4774483.9527242
74,9.111627561154906e-05,15.9,196311.0744556262,4775213.004256672
75,0.00013219411484660342,15.9,196291.30083329952,4776270.577748756
76,0.00019179102616724927,15.9,196262.62227341262,4777804.610279425
77,0.0002782559402207126,15.9,196221.03365276335,4780029.537494062
78,0.00040370172585965663,15.9,196160.73577190345,4783256.06241219
79,0.0005857020818056673,15.9,196073.33816059981,4787934.094104353
80,0.0008497534359086473,15.9,195946.71624566507,4794714.511285534
81,0.0012328467394420685,15.9,195763.38081290433,4804537.606589086
82,0.0017886495290574424,15.8,195497.18550868312,4969275.222059774
83,0.002595024211399743,15.8,195114.06215307408,4990451.09500629
84,0.0037649358067924714,15.8,194561.60904533896,5021027.685930738
85,0.005462277217684359,15.700000000000001,193766.1734014448,5218328.916164738
86,0.007924828983539186,15.600000000000001,192627.1721673558,5438390.824824221
87,0.011497569953977403,15.5,191005.02809892065,5691248.52861285
88,0.016681005372000627,15.4,188712.50028070918,5990288.245426665
89,0.024201282647943932,15.200000000000001,185506.22118623607,6518246.657835545
90,0.03511191734215142,14.9,181088.47203070478,7311632.955878655
91,0.05094138014816386,14.5,175121.11981634036,8407946.133524531
92,0.07390722033525805,14.100000000000001,167266.01464330286,9620218.55623276
93,0.10722672220103253,13.5,157249.32057649744,11253428.251215056
94,0.15556761439304786,12.8,144955.28850474072,12885340.510388037
95,0.22570197196339262,12.0,130499.09245695284,14117379.836788317
96,0.3274549162877732,11.200000000000001,114251.29882806196,14347040.930156887
97,0.47508101621028126,10.4,96774.91492446268,13761209.932989148
98,0.6892612104349709,9.700000000000001,78696.5636393936,12792024.12244905
99,1.0,9.1,60561.0351472261,12303012.986399608
