,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
153,154.0,1.1276642879277372,4.131696228390373e-05,4.5116099405441824e-07,1.0,10.491254939136844,0.012,0.23996829922394625,22.19218574464321,1000000.0,0.0,25.0,436945.3333333333
154,155.0,1.1019832024221794,4.360544428956305e-05,4.6167072214291357e-07,1.0,12.120028976098553,0.012,0.23339178807105299,10.000000014901161,1000000.0,0.0,25.0,436945.3333333333
155,156.0,1.118435364539169,6.318690153868527e-05,3.891097132836097e-07,1.0,17.155631648615163,0.012,0.24267858340887472,10.000001512467861,1000000.0,0.0,25.0,436945.3333333333
156,157.0,1.0435635091463278,5.481233577602793e-05,4.2145727574044765e-07,1.0,16.444145736726114,0.012,0.24372944386499995,10.00000063329935,1000000.0,0.0,25.0,418948.0
157,158.0,1.1048087586750213,4.945349989414708e-05,4.534438584627242e-07,1.0,14.040357905142578,0.012,0.23257953384445784,13.163625366985798,1000000.0,0.0,25.0,436945.3333333333
158,159.0,0.9949114987856013,5.36687054452273e-05,4.310400835461588e-07,1.0,14.241200173283723,0.012,0.2530723793375529,11.801670789718628,1000000.0,0.0,25.0,378465.3333333333
159,160.0,1.1126702143087788,4.2650604045813964e-05,5.005841536790201e-07,1.0,10.946843507818208,0.012,0.25419109983197785,10.000000022351742,1000000.0,0.0,25.0,337982.6666666667
160,161.0,1.0724513857210085,3.5505613790856526e-05,5.242269318147266e-07,1.0,8.991734990938333,0.012,0.2538407576791286,10.0,1000000.0,0.0,25.0,337982.6666666667
161,162.0,1.174901127161866,4.2068727475153506e-05,4.930388808657411e-07,1.0,10.306957940528854,0.012,0.196321271950886,10.000000797212124,1000000.0,0.0,25.0,517910.6666666667
162,163.0,1.037679976984842,3.932372267655279e-05,4.253773799561185e-07,1.0,9.913173636534609,0.012,0.21122166914401674,49.75777494162321,1000000.0,0.0,25.0,616873.3333333334
