,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
44,12915.496650148827,11.200000000000001,1484430.7851227885,12687544.320134833
45,15199.11082952933,11.600000000000001,1535764.8653910675,11693725.491969146
46,17886.495290574352,19.0,1588682.9288027508,114195.12013828816
47,21049.04144512022,19.0,1643499.534223354,112795.26163291461
48,24770.76355991709,19.0,1700590.5761344465,111463.03691926156
49,29150.53062825176,19.0,1760410.3554241138,110239.85738127335
50,34304.692863149125,19.0,1823498.455764657,109189.6717072525
51,40370.1725859655,19.0,1890607.9460660908,108408.58533332935
52,47508.101621027934,19.0,1962700.5338117168,108031.94486036077
53,55908.10182512223,19.0,2041053.2478016545,108228.7211597669
54,65793.32246575682,19.0,2127338.015579281,109167.93718508533
55,77426.36826811278,19.0,2223637.8555852384,110950.28237246015
56,91116.27561154887,19.0,2332337.7755736825,113530.83604236855
57,107226.72220103232,19.0,2455915.4946829774,116692.29474251317
58,126185.6883066021,19.0,2596803.0904587638,120107.25614123624
59,148496.82622544636,19.0,2757500.265044865,123454.98372873431
60,174752.8400007683,19.0,2940913.3057347033,126516.1335633522
61,205651.23083486516,19.0,3150692.38533218,129198.59054870173
62,242012.82647943834,19.0,3391358.1677106153,131500.78734445485
63,284803.5868435799,19.0,3668145.2384555405,133446.42308479027
64,335160.2650938841,19.0,3986577.3420580802,135022.12283996423
65,394420.6059437656,19.0,4351795.333215982,136135.17367371326
66,464158.8833612772,19.0,4767643.1604803745,136596.78756136072
67,546227.7217684337,19.0,5235530.153647769,136132.399499863
68,642807.311728432,19.0,5753192.784858555,134422.09406372532
69,756463.3275546291,19.0,6313678.648388944,131172.65080862396
70,890215.0854450375,19.0,6905081.762842704,126208.92622944941
71,1047615.7527896641,19.0,7511511.834198276,119550.71918862704
72,1232846.7394420658,19.0,8115279.540437192,111434.60359650012
73,1450828.7784959401,19.0,8699603.310218222,102265.91177274799
74,1707352.6474706887,19.0,9250842.879173212,92526.08150047383
75,2009233.0025650458,19.0,9759627.706623439,82679.06098866486
76,2364489.412645407,19.0,10220869.991336538,73107.89739448571
77,2782559.402207126,19.0,10633061.685405403,64088.55390638904
78,3274549.162877725,19.0,10997306.571536541,55792.06672600235
79,3853528.5937105273,19.0,11316394.101830197,48302.01204107403
80,4534878.5081285825,19.0,11594055.425539691,41636.8345468129
81,5336699.231206302,19.0,11834425.151514657,35770.97936893854
82,6280291.441834247,19.0,12041686.315703586,30652.068841481385
83,7390722.033525775,19.0,12219851.316491516,26213.6748486102
84,8697490.026177835,19.0,12372640.572659716,22384.107796105895
85,10235310.218990248,19.0,12503425.657386273,19092.072854566355
86,12045035.402587812,19.0,12615213.378711218,16270.032663606631
87,14174741.629268048,19.0,12710654.482732836,13855.992779424636
88,16681005.372000592,19.0,12792066.135180596,11794.253837084783
89,19630406.500402685,19.0,12861461.071265485,10035.515714386689
90,23101297.00083158,19.0,12920579.242381454,8536.612972632156
91,27185882.427329402,19.0,12970919.97925449,7260.014317631151
92,31992671.377973843,19.0,13013770.434733512,6173.3258071556575
93,37649358.06792463,19.0,13050234.295129087,5248.656574066345
94,44306214.575838774,19.0,13081256.015095433,4462.082491080882
95,52140082.87999684,19.0,13107642.488568235,3793.138565812784
96,61359072.734131634,19.0,13130082.809690434,3224.3276056997597
97,72208090.18385457,19.0,13149164.572269067,2740.7267382096734
98,84975343.59086438,19.0,13165388.60587595,2329.615334273293
99,100000000.0,19.0,13179181.640611535,1980.1567111504148
