,K,Viral Clearance Time,Total Viral Load,Excess CTL
51,1.5199110829529332e-10,1.5,375088.5522646209,1458563412.75901
52,2.0092330025650458e-10,1.5,375085.9312316163,1458510509.330164
53,2.656087782946695e-10,1.5,375081.35275115195,1458418101.1325982
54,3.5111917342151416e-10,1.5,375073.35736670136,1458256742.876403
55,4.6415888336127913e-10,1.5,375059.40239343524,1457975154.5011423
56,6.135907273413189e-10,1.5,375035.0679783924,1457484256.3984063
57,8.111308307896889e-10,1.5,374992.70160120627,1456629994.3167274
58,1.0722672220103253e-09,1.5,374919.14442009176,1455148001.8087678
59,1.4174741629268078e-09,1.5,374792.03692087537,1452590661.7949936
60,1.873817422860387e-09,1.5,374574.1543993779,1448217441.8723762
61,2.4770763559917138e-09,1.5,374205.6463855118,1440850876.9539444
62,3.2745491628777316e-09,1.5,373595.72933714837,1428740512.5929627
63,4.328761281083061e-09,1.5,372619.25680513063,1409562378.02404
64,5.72236765935022e-09,1.4000000000000001,371127.78615608474,1388625045.580517
65,7.56463327554629e-09,1.4000000000000001,368988.62009634933,1348079993.5006533
66,1e-08,1.4000000000000001,366132.108151933,1295699843.52251
67,1.3219411484660288e-08,1.4000000000000001,362592.822220342,1233427501.5413418
68,1.747528400007683e-08,1.3,358497.9857906905,1171469004.0853412
69,2.310129700083158e-08,1.3,354017.8219431793,1100412069.305426
70,3.053855508833412e-08,1.3,349317.17651916353,1030934609.2447871
71,4.03701725859655e-08,1.3,344563.11365659337,965726108.4918894
72,5.336699231206302e-08,1.3,339931.4409031857,906363544.9639814
73,7.05480231071866e-08,1.3,335566.8688675446,853442719.6900516
74,9.326033468832218e-08,1.3,331529.5824723679,806775922.6735613
75,1.2328467394420683e-07,1.4000000000000001,327788.01227519783,761266334.6830069
76,1.6297508346206468e-07,1.4000000000000001,324245.9448996352,724462162.2958204
77,2.1544346900318867e-07,1.4000000000000001,320768.45593532117,690161677.2707101
78,2.848035868435805e-07,1.4000000000000001,317163.21979847876,656318172.5762765
79,3.764935806792471e-07,1.5,313150.66674146027,616994492.4701297
80,4.977023564332114e-07,1.5,308329.4967759318,576664616.2781286
81,6.579332246575682e-07,1.6,302146.1999469047,525719240.16373944
82,8.697490026177835e-07,1.8,293837.5243942753,462718471.90509236
83,1.1497569953977357e-06,2.0,282576.1700613826,390539504.4093897
84,1.519911082952933e-06,2.4000000000000004,267454.37683990627,308238884.86279714
85,2.0092330025650458e-06,3.0,247804.12077933905,224922283.36124563
86,2.656087782946684e-06,4.1000000000000005,223527.80544497917,147994856.8370208
87,3.5111917342151275e-06,5.7,195255.90860374746,87529262.07692944
88,4.641588833612791e-06,8.4,164201.2008793588,43806277.39431384
89,6.135907273413188e-06,12.600000000000001,131793.73193074221,15919508.8677977
90,8.11130830789689e-06,19.0,99343.30071680178,139483.7361168971
91,1.0722672220103253e-05,19.0,62377.82509150221,64706.32139827588
92,1.4174741629268077e-05,19.0,7403.6067665971,5068.737736868812
93,1.8738174228603867e-05,19.0,741.7511594730163,486.84736328332804
94,2.477076355991714e-05,13.8,228.50161195002278,8715.81380222881
95,3.274549162877732e-05,7.0,116.91404033991401,12208.759933357052
96,4.328761281083062e-05,5.5,91.94227492957012,11300.766829764252
97,5.72236765935022e-05,4.9,81.98131740201075,10711.238883705008
98,7.56463327554629e-05,4.6000000000000005,77.08917458358457,10384.011083739955
99,0.0001,4.4,74.10719777920262,10220.407426535312
