,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
89,3.944206059437664e-05,0.5,10.350923105974667,5004.238396568209
90,4.328761281083062e-05,0.5,10.255755902994212,4845.483563738435
91,4.750810162102793e-05,0.5,10.168940412547965,4709.376845398396
92,5.214008287999695e-05,0.5,10.089800376788656,4591.726380280566
93,5.72236765935022e-05,0.5,10.017699009540133,4489.464122373388
94,6.28029144183426e-05,0.5,9.9520404297649,4400.138900170267
95,6.89261210434971e-05,0.4,8.904106160160579,4347.469929160376
96,7.56463327554629e-05,0.4,8.864299052541107,4278.32474531302
97,8.302175681319752e-05,0.4,8.827942764525973,4217.132452603372
98,9.111627561154906e-05,0.4,8.794755793149248,4162.895411453196
99,0.0001,0.4,8.764475389432654,4114.662724592161
