,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
12,4.638765545121364e-05,4.741021529720851e-07,1.0,12.308177926672329,0.00010000011146088505,0.2087236189792634,13.06102791428566,9.236708571873888e-12,1000000.0,0.0,25.0,477428.0,1.11215641568469
13,4.638744939445405e-05,4.740991874112844e-07,1.0,12.308155233588103,0.00010000232469753456,0.20872362271433786,13.061663761734962,2.3950266199874944e-11,1000000.0,0.0,25.0,477428.0,1.1121564159137771
14,1.7796166616394988e-05,4.396846069934907e-06,1.0,1.420036531255974,0.0009203813901298985,0.1973904682098251,11.675517931580544,6.210169418915622e-11,1000000.0,0.0,25.0,477428.0,1.1786683735558168
15,4.638594010874539e-05,4.741101116406942e-07,1.0,12.307809548539993,0.00010000048619740465,0.2087276921129444,13.069407530128956,1.6102620275609421e-10,1000000.0,0.0,25.0,477428.0,1.112156416294573
16,4.638900264324025e-05,4.7411253703696313e-07,1.0,12.308570933092028,0.00010000161137940777,0.20872146221292098,13.063299588859081,4.175318936560412e-10,1000000.0,0.0,25.0,477428.0,1.112156407050402
17,4.6387620981938256e-05,4.7410519806681295e-07,1.0,12.308176265449092,0.00010000250221431362,0.2087242360691306,13.064323604106903,1.082636733874058e-09,1000000.0,0.0,25.0,477428.0,1.112156335913153
18,1.7796137622622795e-05,4.3968357458995655e-06,1.0,1.4200326859174908,0.000923226491168605,0.19738984786882696,11.673961915075779,2.807216203941189e-09,1000000.0,0.0,25.0,477428.0,1.1786679846578487
19,4.638863016241952e-05,4.740397834289477e-07,1.0,12.308437201592135,0.00010000128259851637,0.20872479912917896,13.061667956411839,7.278953843983162e-09,1000000.0,0.0,25.0,477428.0,1.1121527809137826
20,4.640163839311587e-05,4.736813836446439e-07,1.0,12.311393137532761,0.00010000027118300947,0.20872038453508424,13.047022372484207,1.8873918221351015e-08,1000000.0,0.0,25.0,477428.0,1.1121322007183625
21,1.7786847004273802e-05,4.389012908992609e-06,1.0,1.4184148491757043,0.0009292504670911361,0.19743166183852878,11.670315638184547,4.8939009184775094e-08,1000000.0,0.0,25.0,477428.0,1.1785556043237768
22,1.773026981920344e-05,4.337937186464816e-06,1.0,1.4106512495995318,0.001032422436197722,0.19755086535930388,11.573157876729965,1.2689610031679227e-07,1000000.0,0.0,25.0,477428.0,1.1780754642953564
23,1.7354411444376958e-05,3.922048215269336e-06,1.0,1.3872858524978184,0.002430315485446144,0.1974002304830691,10.345882371068,3.2903445623126725e-07,1000000.0,0.0,25.0,477428.0,1.1772808087344482
24,3.5897386468870624e-05,3.732133705486784e-07,1.0,7.075572259455036,0.00010000059843157105,0.1999903896853681,10.00000074505806,8.531678524172826e-07,1000000.0,0.0,25.0,477428.0,1.129552809281086
25,3.345365624278751e-05,4.540469745885047e-07,1.0,1.9281978394963986,0.00010000000323595604,0.19847990509155977,17.302145674824715,2.2122162910704554e-06,1000000.0,0.0,25.0,477428.0,1.1592859122351467
26,9.999999996365602e-05,3.722073724900726e-07,1.0,1.1472725670649382,0.00010000002266064012,0.23404516952300725,284.40016036480665,5.736152510448701e-06,1000000.0,0.0,25.0,477428.0,1.2753205110093897
27,9.999999999964799e-05,1.7682870874608875e-07,1.0,0.4753737536345639,0.00010000000402254905,99.9999994962281,299763.6550275907,1.487352107293513e-05,1000000.0,0.0,25.0,477428.0,2.5646226798702227
28,9.999999999809555e-05,5.285230103075538e-08,1.0,0.07118328349825731,0.00010000012783939471,99.99999814507498,48843.82734463364,3.856620421163479e-05,1000000.0,0.0,25.0,477428.0,3.742806035423046
29,9.999999999882924e-05,2.077156344747411e-08,1.0,0.010000000000601972,0.0001000000158745129,99.99999196930293,18645.7402022928,0.00010000000000000009,1000000.0,0.0,25.0,477428.0,4.065475901400426
