,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
116,117.0,1.002203343437543,4.858687307888637,1200000.0,1.4127673421984824e-06,0.3030012946083005,3172.2676583603024,0.09299504589255514,2.2961829346865027e-07,938882.8,25.0
117,118.0,1.1080469034473048,4.916529970338587,1200000.0,1.4929439873052742e-06,0.2876813554878197,3182.605843439698,0.0896780267585191,2.197509167692078e-07,986435.2,25.0
118,119.0,0.8409000640601884,4.727266541298604,1200000.0,1.5732917953919872e-06,0.31171707855213526,4768.3861083984375,0.07842455403047449,2.2375122113207473e-07,853971.2,25.0
119,120.0,1.0760825609463682,5.122443458506567,1200000.0,1.6003346494449468e-06,0.2705414276118887,2800.921382419765,0.0781447519102077,2.055565847913806e-07,1001551.6,25.0
120,121.0,0.8006612924362423,4.930088230705316,1200000.0,1.5691764168817996e-06,0.29391903020367494,1825.0702072903514,0.09686688788273634,2.0754511537459904e-07,885768.0,25.0
121,122.0,0.9891593430660222,5.551435006334678,1200000.0,1.631568905575547e-06,0.24542854663472013,3072.381113834679,0.07328680248105263,2.5627310873077244e-07,1060154.0,25.0
122,123.0,0.9399631272101626,5.413169748070096,1200000.0,1.691312172159143e-06,0.251568826233715,2239.4064554944634,0.0682397157528869,2.694095895244272e-07,920808.4,25.0
123,124.0,0.9906445109342851,5.121663224985369,1200000.0,1.5692951583208306e-06,0.2719464031944909,3365.0152738541365,0.07378621254863371,2.3798988977586624e-07,969897.6,25.0
124,125.0,0.9801306300853229,4.8860846618518465,1200000.0,1.8177655218243633e-06,0.32388120978387747,2190.1492008417845,0.09906630396056904,9.013891827530787e-08,819998.4,25.0
125,126.0,0.8661136226664187,4.437276583382278,1200000.0,1.4291839342752368e-06,0.33468270195602656,5801.6304066851735,0.08382436926588971,2.548249146206287e-07,832938.8,25.0
126,127.0,0.9061047945790665,4.80849969507932,1200000.0,1.4061327137963528e-06,0.3017601832977306,4407.567309290171,0.0810996223131889,2.5619824750122526e-07,917850.4,25.0
127,128.0,0.902259904164601,4.936592116550052,1200000.0,1.4281226068243248e-06,0.3003478884264581,3313.145876251161,0.08448704468711515,2.418280696059335e-07,888583.2,25.0
128,129.0,1.007596546834906,5.367803677547464,1200000.0,1.6168832765626218e-06,0.25169990368830497,3152.4015312492847,0.07117884094023769,2.469054694638229e-07,1036163.6,25.0
129,130.0,0.9541882310127512,5.165916773364685,1200000.0,1.4983946937388787e-06,0.27360730816326395,3663.5663161054254,0.0752979358534831,2.6365042554891776e-07,967578.8,25.0
130,131.0,1.0379704526753468,5.192846972787528,1200000.0,1.4714330641614696e-06,0.27114340682106075,2177.089950248599,0.09135190979730395,2.3789203215550316e-07,1004509.6,25.0
131,132.0,0.9989466553192987,5.552499497363662,1200000.0,1.6602315060659597e-06,0.24168213381004477,2220.4030128121376,0.08417910883191898,2.191911534341111e-07,1117546.0,25.0
132,133.0,0.9604020876670696,5.0774240464280425,1200000.0,1.6155956994740937e-06,0.28135737379508896,1929.8545864149928,0.09595253093425432,2.1116404382010142e-07,930790.8,25.0
133,134.0,0.8975867413334179,4.992400205928007,1200000.0,1.4288307002919e-06,0.29970680266723093,2383.333403609693,0.09066707117742073,2.0710232392374126e-07,917850.4,25.0
