,c_V,Viral Clearance Time,Total Viral Load,Excess CTL
72,8.111308307896873e-06,0.30000000000000004,7.38924353063906,1112277.8464830783
73,8.902150854450392e-06,0.30000000000000004,6.756887230446148,879679.8681868889
74,9.770099572992246e-06,0.2,5.388985013139551,713148.6071538866
75,1.0722672220103253e-05,0.1,4.071086905587009,588051.717922246
76,1.1768119524349992e-05,0.1,3.922068377485347,491187.882601877
77,1.2915496650148827e-05,0.1,3.774738905909369,415319.2155704566
78,1.4174741629268077e-05,0.1,3.630553702643933,354743.37346099183
79,1.5556761439304724e-05,0.0,2.5,305573.2243650147
80,1.7073526474706923e-05,0.0,2.5,265093.56953202107
81,1.8738174228603867e-05,0.0,2.5,231360.66404853546
82,2.0565123083486515e-05,0.0,2.5,202956.40634809204
83,2.2570197196339216e-05,0.0,2.5,178823.80254833226
84,2.477076355991714e-05,0.0,2.5,158154.7135400152
85,2.71858824273294e-05,0.0,2.5,140329.61687765166
86,2.9836472402833404e-05,0.0,2.5,124871.85576224957
87,3.274549162877732e-05,0.0,2.5,111402.54408228466
88,3.5938136638046256e-05,0.0,2.5,99610.98231423607
89,3.944206059437664e-05,0.0,2.5,89239.47410157716
90,4.328761281083062e-05,0.0,2.5,80076.88819723345
91,4.750810162102793e-05,0.0,2.5,71954.11329151355
92,5.214008287999695e-05,0.0,2.5,64734.689124303964
93,5.72236765935022e-05,0.0,2.5,58306.13334571476
94,6.28029144183426e-05,0.0,2.5,52571.95096661561
95,6.89261210434971e-05,0.0,2.5,47448.8407286875
96,7.56463327554629e-05,0.0,2.5,42863.68027832885
97,8.302175681319752e-05,0.0,2.5,38753.227969465595
98,9.111627561154906e-05,0.0,2.5,35062.82885959935
99,0.0001,0.0,2.5,31744.96730770555
