,K,Viral Clearance Time,Total Viral Load,Excess CTL
63,4.328761281083061e-09,11.9,146861.43609108904,32894545.08326197
64,5.72236765935022e-09,11.9,146857.61613322765,32893622.381282724
65,7.56463327554629e-09,11.9,146850.9417115126,32892011.709348656
66,1e-08,11.9,146839.27870136374,32889199.129941203
67,1.3219411484660288e-08,11.9,146818.90327408526,32884293.410970412
68,1.747528400007683e-08,11.9,146783.31286659255,32875745.30693637
69,2.310129700083158e-08,11.9,146721.16548897862,32860885.12772845
70,3.053855508833412e-08,11.9,146612.70810314312,32835151.888597116
71,4.03701725859655e-08,11.9,146423.61815086324,32790879.49837966
72,5.336699231206302e-08,11.9,146094.52137790655,32715551.10257323
73,7.05480231071866e-08,11.8,145522.44842125237,33012189.573453337
74,9.326033468832218e-08,11.8,144536.448688735,32806467.133880563
75,1.2328467394420683e-07,11.8,142847.976242146,32486397.12726277
76,1.6297508346206468e-07,11.700000000000001,139993.82838129377,32427655.45946
77,2.1544346900318867e-07,11.600000000000001,135269.34746450657,32184329.4677395
78,2.848035868435805e-07,11.5,127678.7393330174,31760257.806782972
79,3.764935806792471e-07,11.4,115981.35715053222,31199011.71341709
80,4.977023564332114e-07,11.200000000000001,98909.69657957614,30957672.021439195
81,6.579332246575682e-07,11.200000000000001,75653.69982160005,30107392.283779554
82,8.697490026177835e-07,11.100000000000001,46853.91240620754,29909814.851951938
83,1.1497569953977357e-06,11.100000000000001,18284.317827430452,28759572.51323511
84,1.519911082952933e-06,10.5,3744.4225411807533,25044758.810090736
85,2.0092330025650458e-06,9.5,726.0658930018569,18942637.298141148
86,2.656087782946684e-06,8.8,198.3502750526517,12802903.130730933
87,3.5111917342151275e-06,7.5,49.64096754659436,8237515.117578341
88,4.641588833612791e-06,0.0,2.5,4742987.62918309
89,6.135907273413188e-06,0.0,2.5,1925706.9938047987
90,8.11130830789689e-06,0.0,2.5,771507.635730382
91,1.0722672220103253e-05,0.0,2.5,412096.02940203337
92,1.4174741629268077e-05,0.0,2.5,285468.9223030571
93,1.8738174228603867e-05,0.0,2.5,231043.85195405298
94,2.477076355991714e-05,0.0,2.5,204499.71224487113
95,3.274549162877732e-05,0.0,2.5,190607.8518550158
96,4.328761281083062e-05,0.0,2.5,183048.3061168629
97,5.72236765935022e-05,0.0,2.5,178843.98294507462
98,7.56463327554629e-05,0.0,2.5,176476.80210548756
99,0.0001,0.0,2.5,175134.6797929042
