,d_I,Viral Clearance Time,Total Viral Load,Excess CTL
45,6.579332246575682e-07,10.0,461095.7511607643,13986495.804892883
46,7.220809018385472e-07,9.9,435521.19876114477,12774933.335289173
47,7.924828983539186e-07,9.9,410598.7812784412,11500304.932464834
48,8.697490026177835e-07,9.8,386366.9333508301,10503459.239508068
49,9.545484566618346e-07,9.700000000000001,362864.07394481107,9592755.664156836
50,1.0476157527896663e-06,9.700000000000001,340124.697844718,8637797.405516759
51,1.1497569953977357e-06,9.600000000000001,318175.24866640894,7890115.477485265
52,1.261856883066021e-06,9.600000000000001,297040.1130913822,7106913.744827355
53,1.3848863713938746e-06,9.600000000000001,276733.76180264633,6402565.978861729
54,1.519911082952933e-06,9.600000000000001,257264.17894985696,5768942.165317731
55,1.6681005372000591e-06,9.700000000000001,238632.6147292743,5125484.157993088
56,1.8307382802953698e-06,9.8,220830.45223443402,4553539.024512637
57,2.0092330025650458e-06,9.9,203842.8142043312,4044769.125932194
58,2.2051307399030456e-06,10.100000000000001,187649.15161399456,3539604.580377094
59,2.4201282647943835e-06,10.3,172221.27602658796,3094910.185336826
60,2.656087782946684e-06,10.5,157527.38921512107,2703123.6930889487
61,2.9150530628251817e-06,10.8,143533.26980014722,2321316.210783155
62,3.1992671377973847e-06,11.200000000000001,130201.44354656019,1956727.1828789676
63,3.5111917342151347e-06,11.700000000000001,117493.1157003664,1615067.8564309569
64,3.853528593710536e-06,12.3,105369.1074266135,1300647.5484493396
65,4.229242874389499e-06,13.0,93790.56194420649,1016500.956290412
66,4.641588833612782e-06,13.8,82719.41763551731,764514.7513065701
67,5.094138014816386e-06,14.9,72120.737071637,517217.628264771
68,5.590810182512223e-06,16.3,61958.89204247967,290201.46919678856
69,6.1359072734131755e-06,18.1,52200.39774174231,85678.70655523516
70,6.7341506577508285e-06,19.0,42786.72842429614,7249.777057511557
71,7.390722033525775e-06,19.0,33503.552838825366,6209.604328643915
72,8.111308307896873e-06,19.0,23338.942021173807,4848.320572738571
73,8.902150854450392e-06,19.0,10389.911228310268,2321.3284072234646
74,9.770099572992246e-06,19.0,1996.7739452436622,417.01038401165283
75,1.0722672220103253e-05,19.0,369.66078659131676,61.192001623543916
76,1.1768119524349992e-05,4.7,72.57802173515154,2814.319458604348
77,1.2915496650148827e-05,2.5,40.04019914096313,1899.0219349212484
78,1.4174741629268077e-05,1.7000000000000002,28.43838505704528,1425.9056632137615
79,1.5556761439304724e-05,1.4000000000000001,23.610716504236574,1149.752336549026
80,1.7073526474706923e-05,1.1,19.509464699543894,981.9531352171092
81,1.8738174228603867e-05,1.0,17.76673434522896,861.7706978730625
82,2.0565123083486515e-05,0.9,16.22981291639359,776.2600864595502
83,2.2570197196339216e-05,0.8,14.829397786786728,712.7306409231036
84,2.477076355991714e-05,0.7000000000000001,13.508786877508562,663.9490545332893
85,2.71858824273294e-05,0.7000000000000001,13.258453897010845,622.4886289164309
86,2.9836472402833404e-05,0.6000000000000001,12.040924526119504,591.8706254952357
87,3.274549162877732e-05,0.6000000000000001,11.878939886351919,564.1965439931606
88,3.5938136638046256e-05,0.6000000000000001,11.731614982954685,541.1187461275376
89,3.944206059437664e-05,0.6000000000000001,11.597717991553669,521.6538902263155
90,4.328761281083062e-05,0.5,10.48838868613062,507.5971425236667
91,4.750810162102793e-05,0.5,10.403751774348558,493.35772774996
92,5.214008287999695e-05,0.5,10.326530739724111,481.05493501779864
93,5.72236765935022e-05,0.5,10.256120207919615,470.34728803216717
94,6.28029144183426e-05,0.5,10.191952409547499,461.01890009506644
95,6.89261210434971e-05,0.5,10.133497935097207,452.82086669032003
96,7.56463327554629e-05,0.5,10.08026547123535,445.59962200056754
97,8.302175681319752e-05,0.5,10.031800803302204,439.2142891689789
98,9.111627561154906e-05,0.5,9.987685634754653,433.5509030173414
99,0.0001,0.4,8.948059755852405,430.58279266870824
