,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
32,33.0,1.5058698538040962,2.6792829845004107,1200000.0,2.5162314003499797e-06,99.99999999976427,23517031.575225044,0.012,378465.3333333333,25.0
33,34.0,1.5048202565044009,2.4256634954366945,1200000.0,1.4856280743772395e-06,99.99999999967545,34116615.56516689,0.012,337982.6666666667,25.0
34,35.0,1.0850815546317314,3.0865041295449203,1200000.0,2.1620276933703603e-06,0.18267074352291246,10.00000063329935,0.012,477428.0,25.0
35,36.0,1.4352673174697037,2.535094806336062,1200000.0,1.6799426802505392e-06,99.99999999976207,20805772.699211095,0.012,517910.6666666667,25.0
36,37.0,1.1374953260839293,3.2427842311756194,1200000.0,2.22121107909501e-06,0.16963813049817134,62.46990829706192,0.012,576390.6666666666,25.0
37,38.0,1.6123191795216256,2.5583418170223453,1200000.0,1.7676775883452333e-06,99.99999994552485,32255903.327394966,0.012,378465.3333333333,25.0
38,39.0,1.1534928881363236,3.501836602478704,1200000.0,2.593816350638822e-06,0.17383275615787142,10.0,0.012,477428.0,25.0
39,40.0,1.21276498921084,2.357884287097427,1200000.0,1.4050538168674436e-06,0.24019376199447606,10.00000000745058,0.012,378465.3333333333,25.0
40,41.0,1.4272783559335964,2.5218292034828025,1200000.0,1.5950005395644538e-06,99.99999995866887,24923763.093532722,0.012,477428.0,25.0
41,42.0,1.1789228395312326,4.053101982436992,1200000.0,2.747316603095831e-06,0.14831704829479975,10.000000022351742,0.012,616873.3333333334,25.0
42,43.0,1.6036990934633089,2.5061877508007555,1200000.0,1.6821902417218189e-06,99.99999993682384,22571211.976318512,0.012,477428.0,25.0
43,44.0,1.2366939192151627,3.6540422591843935,1200000.0,2.084543349625298e-06,0.1561457556533128,25.146073006093502,0.012,715836.0,25.0
44,45.0,1.0784231663990838,3.0298402091519705,1200000.0,1.9142880166576315e-06,0.1857577084765012,10.0,0.012,517910.6666666667,25.0
45,46.0,1.6989222543792577,2.2379953985647205,1200000.0,1.7751191617899282e-06,99.99999999825417,23519221.347848155,0.012,297500.0,25.0
46,47.0,1.4989075903578077,2.5041149942736,1200000.0,1.6474568957168507e-06,99.99999999963356,23411917.7747552,0.012,477428.0,25.0
47,48.0,1.42014794820598,2.5824095835704384,1200000.0,1.5520228168166612e-06,99.99999999961256,32694823.362751268,0.012,436945.3333333333,25.0
48,49.0,1.4879539185141744,2.764569193970459,1200000.0,1.9906274866667183e-06,99.99999861539877,28448757.982500307,0.012,477428.0,25.0
49,50.0,1.217834327109416,3.2153068037531227,1200000.0,1.9706060221025124e-06,0.17413815685370082,10.0,0.012,576390.6666666666,25.0
50,51.0,1.452551238001527,2.4850022397938005,1200000.0,2.219784224109351e-06,99.99999994117101,24160144.258614294,0.012,337982.6666666667,25.0
51,52.0,1.26757004257972,2.5790401590403818,1200000.0,1.4108043529010726e-06,0.2194271792267557,10.0,0.012,477428.0,25.0
52,53.0,1.1752997707899853,3.0185734704672527,1200000.0,1.7922556267155272e-06,0.17913418187261954,10.00000000745058,0.012,576390.6666666666,25.0
53,54.0,1.538961813805157,2.506322949058216,1200000.0,2.1532208723458896e-06,99.99999999932696,26069600.045206882,0.012,337982.6666666667,25.0
54,55.0,1.4925945291751177,2.5466946028263706,1200000.0,1.7104187300555075e-06,99.99999996232972,25009506.662086997,0.012,477428.0,25.0
55,56.0,1.3193481163785077,2.983240131687573,1200000.0,1.830184528463352e-06,99.99999956446317,21035263.78081476,0.012,715836.0,25.0
56,57.0,1.4460915948399942,2.4886959491203413,1200000.0,1.5804604902604135e-06,99.99999999945369,24036936.250594795,0.012,477428.0,25.0
57,58.0,1.5213064453757599,2.5150093515124894,1200000.0,2.0235392559591047e-06,99.99999981388713,24739163.690142274,0.012,378465.3333333333,25.0
58,59.0,1.1442426660602152,3.1581849639987283,1200000.0,2.2250464339012863e-06,0.1698525355114171,10.0,0.012,517910.6666666667,25.0
59,60.0,1.5741242535288842,2.5681195891005117,1200000.0,1.7502420113267792e-06,99.9999999949073,19676284.36937529,0.012,517910.6666666667,25.0
60,61.0,1.5157738929673163,2.758909142500819,1200000.0,1.9564957167850436e-06,99.99999997123601,24207065.400284935,0.012,517910.6666666667,25.0
61,62.0,1.3609274862598275,2.575020902042368,1200000.0,1.722747990604244e-06,99.99999995274129,25577120.765722014,0.012,477428.0,25.0
62,63.0,1.1512737008717469,3.122566271608626,1200000.0,1.9664833504470298e-06,0.16984096340758725,10.000000171363354,0.012,576390.6666666666,25.0
63,64.0,1.254274103014528,2.5098310293597095,1200000.0,1.6717789563934114e-06,0.239451780710219,10.0,0.012,337982.6666666667,25.0
