,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
17,18.0,0.8625572063202879,6.155766827235276,1200000.0,2.6187133760724487e-06,0.20820576607601993,3623.627888031304,0.011,0.017630695135136598,970536.8,25.0
18,19.0,0.9452332747689678,5.3972210337656605,1200000.0,2.322032166965444e-06,0.21502662154036756,3128.078721113503,0.011,0.06060716828738055,817040.4,25.0
19,20.0,0.9136034301498568,5.7298444198913785,1200000.0,2.4194872954362597e-06,0.21228837714208737,3746.4521279484034,0.011,0.029551975210794557,938882.8,25.0
20,21.0,0.8459035863273592,5.460005727243541,1200000.0,2.319377660207702e-06,0.2383169940472527,5627.379081860185,0.011,0.045891225315442874,822956.4,25.0
21,22.0,0.8944924865793604,6.343246857341413,1200000.0,2.631663343717421e-06,0.18560673745299283,3149.0616225749254,0.011,0.03254806155704432,1030886.8,25.0
22,23.0,0.9269080890534172,5.888415668947502,1200000.0,2.6077385280402405e-06,0.2210361542847039,4519.104175247252,0.011,0.008948322804772646,949504.4,25.0
23,24.0,0.9512048467314185,5.972025585869893,1200000.0,2.7317687288270725e-06,0.20562646013444663,3173.94825720042,0.011,0.012084112291258664,946546.4,25.0
24,25.0,0.8813067574243164,6.1195147422976035,1200000.0,2.6401144648735623e-06,0.18914233024911908,2862.0161110162735,0.011,0.035094000831335015,970536.8,25.0
25,26.0,0.8252736314112543,5.72896496658246,1200000.0,2.4208406607455045e-06,0.2044653591444927,2481.397039875388,0.011,0.05924479961020246,832938.8,25.0
26,27.0,0.9424232552338888,5.286669717351664,1200000.0,2.3377038180647503e-06,0.21972743191796695,3922.9687024131417,0.011,0.04567688909606171,856929.2,25.0
27,28.0,0.9024921832659851,6.021410275313443,1200000.0,2.6088062888908435e-06,0.2248576902768349,4610.306400105357,0.011,0.00955817497446465,932966.8,25.0
28,29.0,0.8250830350914036,6.520179265814647,1200000.0,2.957033226183929e-06,0.1897593972713807,2973.8688747808337,0.011,0.00968621728564445,1007467.6,25.0
29,30.0,0.890236454925934,6.016502488088584,1200000.0,2.641664574691892e-06,0.2077908399843551,3984.467636719346,0.011,0.022364814038637493,949504.4,25.0
30,31.0,0.88975062203439,5.83808454061127,1200000.0,2.611924006016448e-06,0.21222682994006448,3943.996865257621,0.011,0.01681659244987649,941269.6,25.0
31,32.0,0.8860580195968042,6.253164725572596,1200000.0,2.7806111586271078e-06,0.2124871148734755,4515.19812938571,0.011,0.0020857100253386385,1007467.6,25.0
32,33.0,0.9677579933873948,6.029373120681569,1200000.0,2.6931241381773338e-06,0.20155784227613793,3523.007378615439,0.011,0.016461333692399494,986435.2,25.0
33,34.0,1.0669183630952097,6.4578322559639005,1200000.0,2.878189050717662e-06,0.20006234943831913,3922.841230355203,0.011,4.543898035613836e-09,1057196.0,25.0
34,35.0,0.9486457514563612,6.130831234987376,1200000.0,2.5940597134784e-06,0.18943473148608803,3717.039876781404,0.011,0.03820139756170848,999232.8,25.0
35,36.0,0.8824185503077521,6.590086242454241,1200000.0,3.1260490200141257e-06,0.19438179641567643,3062.128575667739,0.011,0.007670699571044215,946546.4,25.0
36,37.0,0.8477496566949448,6.254786482698755,1200000.0,2.669919703123735e-06,0.20205755399179992,3497.930511638522,0.011,0.03880063807634043,890902.0,25.0
37,38.0,1.054626035850966,5.895204314417356,1200000.0,2.6024546760354826e-06,0.22164454884104856,4652.1249395385385,0.011,1.9142771479074838e-08,1004509.6,25.0
38,39.0,0.9184945019835231,5.9887319352506765,1200000.0,2.5403936781100757e-06,0.1953719968228924,3862.998881056905,0.011,0.033000429329963665,1004509.6,25.0
39,40.0,0.8564578060014827,5.853670601175828,1200000.0,2.545838791719171e-06,0.2019569770729177,3071.376346848905,0.011,0.04363928333455935,888583.2,25.0
40,41.0,0.7941192451165794,5.563385287684866,1200000.0,2.5409585495501447e-06,0.23142796474922278,4527.786968193948,0.011,0.02954284126831258,822956.4,25.0
41,42.0,0.9744381392194955,6.346982887306389,1200000.0,2.8949744732103457e-06,0.2050136715041475,3772.551749572158,0.011,4.3574376884514265e-09,999232.8,25.0
42,43.0,0.9250932452770577,6.207591008847139,1200000.0,2.7107728211511555e-06,0.16680195127941033,2499.929155744612,0.011,0.0490625210709269,1012173.2,25.0
43,44.0,0.9794896970098207,5.478996982973271,1200000.0,2.3963707523783445e-06,0.20674475616965537,2810.540539547801,0.011,0.04981081782216068,856929.2,25.0
44,45.0,0.9237911591826069,6.2721257029742645,1200000.0,2.9708532320044863e-06,0.19555739503513792,4151.217283524573,0.011,0.028896952040374846,909615.6,25.0
45,46.0,0.931153453084009,6.478555379231111,1200000.0,2.946394173167422e-06,0.20496497325260776,4812.346746370196,0.011,3.431041734058837e-08,1033205.6,25.0
46,47.0,0.8912239801859633,6.138899907166994,1200000.0,2.824991641264151e-06,0.20917333303432883,4128.751349315047,0.011,2.0951932300228293e-08,1007467.6,25.0
47,48.0,0.8775309924641738,6.747901386808749,1200000.0,2.958436071481023e-06,0.19931006144530272,4359.577042780817,0.011,3.246777796617195e-08,1064859.6,25.0
48,49.0,0.8325246234064564,6.801659787825301,1200000.0,3.2969341337805584e-06,0.1717633062853139,1457.489953584969,0.011,0.01129257529106753,967578.8,25.0
49,50.0,0.9102323182311695,5.924647257660396,1200000.0,2.57796787433157e-06,0.22456161204004133,5543.390184983611,0.011,0.03442553085769251,864592.8,25.0
50,51.0,0.8703167656791202,5.668987945798484,1200000.0,2.702191317292482e-06,0.2426580020147142,6953.965699546039,0.011,5.1807447221108305e-11,917850.4,25.0
