,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,c_T,T_0,V_0
71,72.0,1.208878548889348,3.8610070510889116,1200000.0,2.5953647925269264e-06,0.12852688174044147,10.000000089406967,0.012,0.05311702986616418,576390.6666666666,25.0
72,73.0,1.2500287459071877,3.9876314444660466,1200000.0,2.5468392473312632e-06,0.11986040123170483,10.000011220574379,0.012,0.06244346673240281,616873.3333333334,25.0
73,74.0,1.1046747446339125,2.773827063180576,1200000.0,1.7913585093604672e-06,0.18989560672586947,10.000000558793545,0.012,0.12216514251630445,337982.6666666667,25.0
74,75.0,1.190542183897839,3.973803613010432,1200000.0,2.662380439994309e-06,0.12858166041726093,15.428396441042423,0.012,0.0004364962377659265,715836.0,25.0
75,76.0,1.2723932866191123,3.061164769414674,1200000.0,1.956510109087945e-06,0.16458666713914027,10.81302423030138,0.012,0.060856310673546965,477428.0,25.0
76,77.0,1.1502567350478479,2.6268785694727086,1200000.0,1.6599903715657207e-06,0.2026660569583214,10.000000208616257,0.012,0.09921140779836057,337982.6666666667,25.0
77,78.0,1.1513010619406245,2.9416759087044895,1200000.0,1.7610063359120524e-06,0.189665049819979,10.000000141561031,0.012,0.029395449968838194,477428.0,25.0
78,79.0,1.1874171378854816,3.2399329702698267,1200000.0,2.350440198164232e-06,0.14845457738113055,10.000000029802322,0.012,0.0528049671019758,477428.0,25.0
79,80.0,1.255487282774533,2.4802160930091546,1200000.0,1.4451468913271765e-06,0.21194846209071727,10.0,0.012,0.11027868668258345,337982.6666666667,25.0
80,81.0,1.2029884703477771,2.8122244184171237,1200000.0,1.7491329337535297e-06,0.19123206690844796,10.0,0.012,0.05629377238226713,418948.0,25.0
81,82.0,1.2152721742107044,3.0965436902746575,1200000.0,2.1525622149134885e-06,0.15934344505451037,10.000000141561031,0.012,0.07214948935589582,436945.3333333333,25.0
82,83.0,1.2042317752284952,3.2706051402076213,1200000.0,2.266761910778604e-06,0.15705031342000098,10.00000437349081,0.012,0.04911572679738585,477428.0,25.0
83,84.0,1.044361606301007,2.6240001544269873,1200000.0,2.002221139367457e-06,0.19722475267456474,10.000013768672943,0.012,0.04772188680394018,337982.6666666667,25.0
84,85.0,1.1178167768268146,2.8396163115388404,1200000.0,1.7275442908484817e-06,0.18743985677750175,10.000034116208553,0.012,0.029474764463059078,477428.0,25.0
85,86.0,2.010314492676921,99.99997521929613,1200000.0,3.9540216597361457e-05,4.395561120247471,278878.19897429645,0.012,0.9434790245662581,477428.0,25.0
86,87.0,1.2019884331733612,3.4116660507057333,1200000.0,2.283634974605141e-06,0.126638505390531,29.56075642257929,0.012,0.06650198116293149,576390.6666666666,25.0
87,88.0,1.0289837404957292,2.8869734497366437,1200000.0,1.744909086974504e-06,0.1736085362542923,10.000001892447472,0.012,0.08843961728198685,436945.3333333333,25.0
88,89.0,1.1691384031618255,2.7662916078906505,1200000.0,1.6135886118874275e-06,0.19054557915465864,10.003172628581524,0.012,0.03586553456111469,477428.0,25.0
89,90.0,1.2420154004492214,3.4947314961096865,1200000.0,2.5389365779358066e-06,0.15499325304314482,10.002693258225918,0.012,0.038751553372027514,477428.0,25.0
90,91.0,1.1145819850788046,3.1146743698101957,1200000.0,2.2825604328746238e-06,0.14376088869595804,10.000001721084118,0.012,0.13525957832683044,378465.3333333333,25.0
91,92.0,1.1768232474618632,3.2012622843184104,1200000.0,2.1400417830313973e-06,99.99979137245109,27130068.672858234,0.012,0.21981382403970195,477428.0,25.0
92,93.0,1.0987523846701621,3.1957274331501466,1200000.0,1.9155695314596564e-06,0.16252644590019116,10.074620619416237,0.012,0.027184955491307228,576390.6666666666,25.0
93,94.0,1.1756819581006184,3.027040510470073,1200000.0,1.6988968985937814e-06,0.17758372416286505,10.000000074505806,0.012,1.1275040678881965e-08,616873.3333333334,25.0
94,95.0,1.2976344198542344,2.604897350545066,1200000.0,1.8000352340324916e-06,0.1890969336155166,10.088562577962875,0.012,0.1008685264170876,337982.6666666667,25.0
95,96.0,1.1597321340491735,2.915196034783513,1200000.0,1.855506417403497e-06,0.16418689190044944,10.000000208616257,0.012,0.10594287614356868,418948.0,25.0
96,97.0,1.2686661848938063,2.6282866302584935,1200000.0,1.8510941098733092e-06,99.99999989140073,19005288.098140236,0.012,0.26903435359968497,337982.6666666667,25.0
97,98.0,1.1137375307629835,3.0992274821648707,1200000.0,2.0753919275067753e-06,0.15231928707821396,10.000235825777054,0.012,0.0687297910582052,477428.0,25.0
98,99.0,1.1625161303796894,2.6256147689083704,1200000.0,1.843419993281109e-06,0.1783968424290947,10.00661275535822,0.012,0.11842961964832488,337982.6666666667,25.0
99,100.0,1.0592637947011168,3.919114110736544,1200000.0,2.6139860337305942e-06,0.12164561565035115,10.000000953674316,0.012,0.04819657973957647,616873.3333333334,25.0
100,101.0,1.0720040651427263,2.842298190424245,1200000.0,1.875560561312888e-06,0.16807397229468535,10.000002406537533,0.012,0.1223509730279273,378465.3333333333,25.0
101,102.0,1.2361649471152012,3.95862228574957,1200000.0,2.7931174306093635e-06,0.13529654906146504,10.004629865288734,0.012,0.011076549171506078,616873.3333333334,25.0
102,103.0,1.1318393265789966,2.9045346028356676,1200000.0,1.9024828291414243e-06,0.17524298068180855,10.032909885048866,0.012,0.05899160252997804,436945.3333333333,25.0
103,104.0,1.1464828750704437,2.980914187032546,1200000.0,1.8681479003112504e-06,0.1808366376894952,10.000245243310928,0.012,0.0337992555451988,477428.0,25.0
104,105.0,1.1359426493957334,2.777839562706994,1200000.0,1.791635950103881e-06,0.17808763924357152,10.002523116767406,0.012,0.0738436944666524,418948.0,25.0
105,106.0,1.1612786614091781,2.755123583133809,1200000.0,1.6784092577949911e-06,0.18556695770985954,10.000001847743988,0.012,0.060578244404027815,436945.3333333333,25.0
106,107.0,1.0400083820840809,3.318740314040568,1200000.0,2.158065868337364e-06,0.14930675928738424,10.00007301568985,0.012,0.05762294538902446,517910.6666666667,25.0
107,108.0,1.0877691021168778,2.8882275480490307,1200000.0,1.6273799469333072e-06,0.18162215537412152,10.000000908970833,0.012,0.06544011633328228,477428.0,25.0
108,109.0,1.0638292385997812,3.221002493374179,1200000.0,2.092108498028751e-06,0.15970106748658708,10.000000655651093,0.012,0.06346548838575627,477428.0,25.0
109,110.0,1.1088668360508884,3.1511205760222794,1200000.0,2.0805497666988337e-06,99.9929550150336,23195257.017744176,0.012,0.16933002839581468,517910.6666666667,25.0
110,111.0,1.04783494834735,2.6280084936966404,1200000.0,1.6794776942096368e-06,0.20547277601637148,10.000262260437012,0.012,0.04917545989013583,378465.3333333333,25.0
111,112.0,1.1282913667302894,3.143897227616428,1200000.0,1.746121240882229e-06,0.1674272330940596,10.008688047528267,0.012,0.019535937446337026,616873.3333333334,25.0
112,113.0,1.2735499347099528,3.19491164902999,1200000.0,1.895923557306208e-06,0.14539488842067527,10.000068984925747,0.012,0.12406741199668003,477428.0,25.0
113,114.0,1.160127637757861,2.5537690853818518,1200000.0,1.5456538572025257e-06,0.18996303816916793,10.0,0.012,0.10386988881381032,378465.3333333333,25.0
114,115.0,1.1717998557207892,4.247568692050322,1200000.0,3.1541319606613217e-06,0.09833377123162279,10.702094107866287,0.012,0.07561785662467058,576390.6666666666,25.0
115,116.0,1.2960384846606012,3.2758220967389704,1200000.0,2.473319742041615e-06,0.15668846062590802,10.000011190772057,0.012,0.025592522906481563,477428.0,25.0
116,117.0,1.0994435718800335,2.7532206576920473,1200000.0,1.7072796780180858e-06,0.1867294935410584,10.00000924617052,0.012,0.027284781918275103,477428.0,25.0
117,118.0,1.2134791753400982,3.251618204182563,1200000.0,2.046571875455364e-06,99.99987601627707,26923034.21342481,0.012,0.21042486478412287,517910.6666666667,25.0
118,119.0,1.1539730925986083,3.1209525460350562,1200000.0,2.2725419805864967e-06,0.16753752258138377,10.000003829598427,0.012,0.016006156069827415,477428.0,25.0
119,120.0,1.1934539255242151,2.999819375094596,1200000.0,2.055989067768977e-06,0.1847352953540664,10.003691665828228,0.012,2.007109890733716e-06,477428.0,25.0
120,121.0,1.160007999170579,3.2849505956984615,1200000.0,1.990815050566609e-06,0.15086460362377352,10.004955388605595,0.012,0.045407919016332676,576390.6666666666,25.0
121,122.0,1.1352336690806268,3.1458616583202073,1200000.0,1.8877741200851633e-06,0.16507227586181727,10.000000052154064,0.012,0.02208444104157209,576390.6666666666,25.0
122,123.0,1.1687529665677654,3.138705118123859,1200000.0,2.008527341645718e-06,0.15834070358064167,10.00000000745058,0.012,0.0706008911438234,477428.0,25.0
123,124.0,1.171859652269468,3.1026929035209463,1200000.0,1.76941023727828e-06,0.16763192888280543,10.000001139938831,0.012,0.08990522071750179,477428.0,25.0
124,125.0,1.156400797864133,3.9672346210834135,1200000.0,2.848162766314116e-06,0.11627558680202554,10.00002659112215,0.012,0.054702380075214385,576390.6666666666,25.0
125,126.0,1.196304152706874,3.3761412785489426,1200000.0,2.3632832022916933e-06,0.0916024263281301,896.030156545341,0.012,0.2173274707265328,477428.0,25.0
126,127.0,1.173632383351533,3.170621848669093,1200000.0,2.1010179324444824e-06,0.15604484819390052,10.003243044018745,0.012,0.06526666575980955,477428.0,25.0
127,128.0,1.0897873240758915,5.27345312927315,1200000.0,3.5816981231428098e-06,0.018185967292062344,17.91154956072569,0.012,0.16530306568492958,715836.0,25.0
128,129.0,1.3488251252461476,3.1870240148039173,1200000.0,2.1479634148671145e-06,99.99959212312535,26131039.35138436,0.012,0.21661564480637818,477428.0,25.0
129,130.0,1.2952086155496276,2.8745877145176166,1200000.0,1.94640186980175e-06,0.1825217887538102,10.0,0.012,0.0785706826983395,378465.3333333333,25.0
130,131.0,1.1316374968545717,2.8645016272442447,1200000.0,1.5572945271861809e-06,99.99971595714877,23395807.31035227,0.012,0.20591918066509374,517910.6666666667,25.0
131,132.0,1.1357803848434083,2.9433545981422142,1200000.0,1.7083846643188824e-06,0.16793290053197296,10.000020787119865,0.012,0.11538526928982057,436945.3333333333,25.0
132,133.0,1.206825684557815,2.757070861725424,1200000.0,1.7126018527327037e-06,99.992624728521,21677091.598942675,0.012,0.2360248864552036,418948.0,25.0
133,134.0,1.1315761314141084,3.1174057311379784,1200000.0,1.753214386762488e-06,99.98293089771506,21621025.768451285,0.012,0.1547550248543843,616873.3333333334,25.0
134,135.0,1.195359124210302,3.377677272061838,1200000.0,2.25579208573981e-06,99.99819470385665,33345204.997706756,0.012,0.23174889619874428,477428.0,25.0
135,136.0,1.084678370012702,3.31515588278576,1200000.0,2.248671024800276e-06,0.15934200404127097,10.000010378658772,0.012,5.597202701324022e-10,576390.6666666666,25.0
136,137.0,1.1784768188751014,2.676136792029631,1200000.0,1.7866972938593035e-06,0.19082364758465786,10.00095658749342,0.012,0.0690168280936782,378465.3333333333,25.0
