,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
63,64.0,1.1999481604085054,2.309058888146889e-05,6.773146807153169e-07,1.0,2.142057508641841,0.011,0.40884056680549463,31631.18074426055,1000000.0,0.0,25.0,896818.0
64,65.0,1.320171975300099,2.2746449059645485e-05,6.842263944040804e-07,1.0,2.099057067836924,0.011,0.38325336708438584,35837.03918053955,1000000.0,0.0,25.0,1025542.0
65,66.0,1.2823457252335835,2.205924590390355e-05,6.955723267324602e-07,1.0,2.1724426758835023,0.011,0.37396080046182334,27856.16600485146,1000000.0,0.0,25.0,983477.2
66,67.0,1.1740849990269977,2.1043683566148504e-05,6.561591583210052e-07,1.0,2.118185357407995,0.011,1.1454258088340268,291961.63110972196,1000000.0,0.0,25.0,1060154.0
67,68.0,1.261542211275582,2.4066485970364834e-05,6.530300306469979e-07,1.0,2.052387305175749,0.011,0.4486699154874998,52526.268787406385,1000000.0,0.0,25.0,975242.4
68,69.0,1.1217916951447573,2.4037497701089316e-05,6.906131855095654e-07,1.0,2.137304859530815,0.011,0.3453024162350786,22648.88142184168,1000000.0,0.0,25.0,973494.8
69,70.0,1.2091918231105305,2.1126861829838046e-05,6.867760358921022e-07,1.0,2.1987880904389954,0.011,0.4991981964860486,47925.181719109416,1000000.0,0.0,25.0,869869.6
70,71.0,1.2576537840223183,2.3156359968916996e-05,6.337181055915232e-07,1.0,2.0902235276421095,0.011,0.39321052911950005,39073.15588156134,1000000.0,0.0,25.0,1088850.0
71,72.0,1.1988203563468556,2.1352218586614156e-05,6.685273637948395e-07,1.0,2.1354376210727892,0.011,0.5763170881828046,89402.1443940103,1000000.0,0.0,25.0,1036163.6
72,73.0,1.2940308500404991,2.055373612568011e-05,6.799471727346584e-07,1.0,2.097978341479987,0.011,1.5167662404618483,428047.02904964983,1000000.0,0.0,25.0,1004509.6
73,74.0,1.2279707396680744,2.300206930824233e-05,6.71331745690625e-07,1.0,2.194316555151019,0.011,0.4601399813070586,37682.83041340113,1000000.0,0.0,25.0,856929.2
74,75.0,1.203292106599481,2.2176620543129034e-05,6.723185675685476e-07,1.0,2.1344280474143034,0.011,0.47419641431047665,54918.302893571556,1000000.0,0.0,25.0,975242.4
75,76.0,1.1902065413867593,2.1481664282085346e-05,6.469251646031441e-07,1.0,2.1177066344011806,0.011,0.5675669357361386,80504.8363558203,1000000.0,0.0,25.0,996274.8
76,77.0,1.140463918270195,2.255563646354776e-05,7.36479042583773e-07,1.0,2.19505255810968,0.011,0.361038818674146,23998.55529604107,1000000.0,0.0,25.0,920808.4
77,78.0,1.1444597456756875,2.308970649423284e-05,6.695226535745298e-07,1.0,2.145406447169613,0.011,0.3444028095082814,22044.518721222878,1000000.0,0.0,25.0,1006896.4
78,79.0,1.1964012636542496,2.198338562830843e-05,7.073060045038594e-07,1.0,2.1115980654408304,0.011,0.649288602737272,113437.95653163642,1000000.0,0.0,25.0,946546.4
79,80.0,1.1671653720951563,2.2570326986131276e-05,7.192001745047908e-07,1.0,2.117765583097494,0.011,0.40402495650182146,45875.476008594036,1000000.0,0.0,25.0,1027928.8
80,81.0,1.2426822248920182,2.3188965740572007e-05,7.068127177225369e-07,1.0,2.1215406228790954,0.011,0.39286316855110215,35641.4328192696,1000000.0,0.0,25.0,962444.8
81,82.0,1.26727395283412,2.1070434074479424e-05,7.115655098173599e-07,1.0,2.1660023614240345,0.011,0.5023381077853486,54968.03896185756,1000000.0,0.0,25.0,885625.2
82,83.0,1.2220421329646587,2.2144920520408176e-05,6.765447419682609e-07,1.0,2.170166982657676,0.011,0.41846930863366794,31995.507020503283,1000000.0,0.0,25.0,909615.6
83,84.0,1.1756589136937061,2.0063290620093316e-05,7.321416698122601e-07,1.0,2.252008343593218,0.011,0.5984002768466823,72442.81925946474,1000000.0,0.0,25.0,859887.2
