,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
18,19.0,2.274534675131586,99.99998334826032,1200000.0,4.5265277319896296e-05,8.437504606814925e-06,0.012,0.9999997103058245,378465.3333333333,25.0
19,20.0,1.1612092846901343,3.6319847633485267,1200000.0,2.2806588307871316e-06,3.2461386390663686e-06,0.012,0.18775535990097814,616873.3333333334,25.0
20,21.0,2.2177645289110592,99.99999244312767,1200000.0,3.631670499909841e-05,8.335763729193522e-06,0.012,0.992240313641704,477428.0,25.0
21,22.0,2.022503929135479,99.99998725940611,1200000.0,5.083125503176311e-05,8.301501142690016e-06,0.012,0.9999998338884547,337982.6666666667,25.0
22,23.0,1.208959942935326,2.619566136053237,1200000.0,1.955115697049845e-06,6.116283092327053e-06,0.012,0.26287831764313224,337982.6666666667,25.0
23,24.0,1.2804639106782938,2.7009339327752144,1200000.0,1.967704310528332e-06,4.539033829289696e-06,0.012,0.2494960131342287,337982.6666666667,25.0
24,25.0,1.1648369671551546,3.357477724248561,1200000.0,2.1886129938332514e-06,4.474542779015755e-06,0.012,0.17903405855493193,576390.6666666666,25.0
25,26.0,2.146376148236225,99.99998719856532,1200000.0,3.931928501745497e-05,8.234338126376747e-06,0.012,0.9999999557598125,436945.3333333333,25.0
26,27.0,2.4194025222196793,99.99999956221639,1200000.0,2.5402991452309105e-05,8.399226863562663e-06,0.012,0.957945787398741,715836.0,25.0
27,28.0,1.9200658946661182,81.15507800911826,1200000.0,4.353575607440451e-05,7.938102689360749e-05,0.012,0.8226554052378969,418948.0,25.0
28,29.0,2.0321213452271385,88.05923978223454,1200000.0,4.57259060864099e-05,6.762726511190221e-05,0.012,0.7620479786092194,436945.3333333333,25.0
29,30.0,2.046197622248051,99.99999213979513,1200000.0,5.0708843605910825e-05,8.459145276081998e-06,0.012,0.999999952095469,337982.6666666667,25.0
30,31.0,2.030407837820817,99.99999698406018,1200000.0,5.07940856536007e-05,8.360319438960053e-06,0.012,0.9999997278377875,337982.6666666667,25.0
31,32.0,2.1533963816781805,95.44406272560836,1200000.0,3.581642780344382e-05,6.012563994848846e-05,0.012,0.718641478171869,616873.3333333334,25.0
32,33.0,2.052966316872159,85.37182720597721,1200000.0,5.0457576770741276e-05,7.221630185238071e-05,0.012,0.7840742442060059,378465.3333333333,25.0
33,34.0,1.1713399746602002,2.6199049256779645,1200000.0,1.643341136080414e-06,3.960708223308567e-06,0.012,0.2690001146044331,337982.6666666667,25.0
34,35.0,2.161496534997243,99.99999107590993,1200000.0,3.602245553507723e-05,8.398947443981339e-06,0.012,0.9999999900448964,477428.0,25.0
35,36.0,2.249674944962058,99.99999589925918,1200000.0,3.3641027055487976e-05,8.61285917830459e-06,0.012,0.9882894939326966,517910.6666666667,25.0
36,37.0,2.104435287092247,82.49250335159948,1200000.0,3.271564483127653e-05,7.849294639372629e-05,0.012,0.8084288442093451,576390.6666666666,25.0
37,38.0,1.275074770862419,2.891042140455582,1200000.0,1.930113361167794e-06,3.6428551246011915e-06,0.012,0.27060683598033813,378465.3333333333,25.0
38,39.0,1.0708365782880362,4.605892353536547,1200000.0,3.9390087331832955e-06,7.90669822049786e-07,0.012,0.23416717500799972,477428.0,25.0
39,40.0,1.9443810961032533,99.99997751546783,1200000.0,4.542834771456711e-05,8.252770983983573e-06,0.012,0.9999997348401554,378465.3333333333,25.0
40,41.0,1.2359015088462457,2.8575156111477042,1200000.0,1.6725056336074125e-06,4.620207670541015e-06,0.012,0.2193124571089401,477428.0,25.0
41,42.0,1.106563032102412,4.984339151352188,1200000.0,3.5632061561252583e-06,6.204174494779368e-07,0.012,0.20979327662532476,616873.3333333334,25.0
42,43.0,1.2938488029618536,3.0333341803582528,1200000.0,1.8836531246050264e-06,4.212852273244484e-06,0.012,0.2621297816690679,477428.0,25.0
43,44.0,1.198753352812356,4.570608401628768,1200000.0,2.7671703269734684e-06,9.318967836822412e-07,0.012,0.21367334099307245,715836.0,25.0
44,45.0,2.099712124451905,82.0697014069749,1200000.0,3.5942710235151536e-05,7.731242405049161e-05,0.012,0.8112719870876116,517910.6666666667,25.0
45,46.0,1.344758658061442,2.4220498969071045,1200000.0,1.6816546608307943e-06,6.025736054317293e-06,0.012,0.29306382116564245,297500.0,25.0
46,47.0,2.1555367498468607,99.99998966862907,1200000.0,3.5943282582774466e-05,8.399159755715267e-06,0.012,0.999999974375879,477428.0,25.0
47,48.0,1.1452298907246408,3.040449690477324,1200000.0,1.8766513590148955e-06,3.2580887166568795e-06,0.012,0.24864484152699617,436945.3333333333,25.0
48,49.0,1.272706262185962,3.7299300683472225,1200000.0,2.772235885027731e-06,2.264148733369883e-06,0.012,0.2282296404459344,477428.0,25.0
49,50.0,2.2031117243764076,99.99999101316018,1200000.0,2.997271924662142e-05,8.269579214933555e-06,0.012,0.9975564633148162,576390.6666666666,25.0
50,51.0,1.2051119404640596,2.8129125807228093,1200000.0,2.252566559721526e-06,4.671212549380335e-06,0.012,0.23812933532592845,337982.6666666667,25.0
51,52.0,1.2738888733638665,2.663391158054935,1200000.0,1.4938932534771813e-06,6.22431312665089e-06,0.012,0.23378938114805814,477428.0,25.0
52,53.0,2.134984842448578,99.99999501265972,1200000.0,3.068675060187723e-05,8.338077005429689e-06,0.012,0.9798971601351042,576390.6666666666,25.0
53,54.0,2.0405832554817427,80.93615718196145,1200000.0,5.325954535818155e-05,7.847714842540952e-05,0.012,0.8184697047765476,337982.6666666667,25.0
54,55.0,2.269017260579289,99.99999854022408,1200000.0,3.599470977139451e-05,8.280646131249262e-06,0.012,0.9999999165099145,477428.0,25.0
55,56.0,2.383928509047892,99.999994409568,1200000.0,2.6125318385832396e-05,8.5521712168525e-06,0.012,0.9382270001666826,715836.0,25.0
56,57.0,2.185362842338973,99.99999174021615,1200000.0,3.5964296021812446e-05,8.3251104918243e-06,0.012,0.9999988738530171,477428.0,25.0
57,58.0,1.1950140129399776,2.9729349197480417,1200000.0,2.2202572807778073e-06,4.170782129901957e-06,0.012,0.26293747586031313,378465.3333333333,25.0
58,59.0,2.0870237609165607,99.99998803424566,1200000.0,3.3904390645446214e-05,8.309303902776782e-06,0.012,0.9854985203170042,517910.6666666667,25.0
59,60.0,1.357197533280676,3.2929872613833453,1200000.0,2.129874776009916e-06,3.929895761161375e-06,0.012,0.23309196511722186,517910.6666666667,25.0
60,61.0,2.0604473434652917,87.45814180506125,1200000.0,3.696954073413695e-05,6.43433409865237e-05,0.012,0.7767122723140889,517910.6666666667,25.0
61,62.0,2.2497327501162343,99.99998797067008,1200000.0,3.597754652810072e-05,8.445068987270904e-06,0.012,0.9987523270870098,477428.0,25.0
62,63.0,2.1630898244184,99.99999208501528,1200000.0,3.101764218174686e-05,8.423685353745724e-06,0.012,0.9716990002037302,576390.6666666666,25.0
63,64.0,2.1077230255324158,99.99999764371412,1200000.0,5.0647485205066444e-05,8.579885928747233e-06,0.012,0.9999999574920315,337982.6666666667,25.0
64,65.0,2.09105683030829,87.79792982108506,1200000.0,5.889918068821366e-05,6.72887310532949e-05,0.012,0.7659841444719946,337982.6666666667,25.0
65,66.0,1.2074374714882785,2.9885817885886254,1200000.0,1.980774442844182e-06,4.555710230111328e-06,0.012,0.18946088609449308,477428.0,25.0
66,67.0,2.1523375907876194,99.99999750539402,1200000.0,3.9318956948303976e-05,8.267173897644203e-06,0.012,0.9999999304549881,436945.3333333333,25.0
67,68.0,2.1735478093696177,82.8224176102807,1200000.0,4.0004872218572695e-05,7.816132537942169e-05,0.012,0.8148208928241993,477428.0,25.0
68,69.0,1.9914723819470554,88.35759833344443,1200000.0,4.8203805829708875e-05,6.747917691193642e-05,0.012,0.7680099868319106,418948.0,25.0
69,70.0,2.0282924571979635,90.22914481249174,1200000.0,5.5632834942803595e-05,6.330511713273737e-05,0.012,0.7529048461071285,378465.3333333333,25.0
70,71.0,2.3742665970625607,99.99999991359155,1200000.0,3.0881984516281926e-05,8.606571844957907e-06,0.012,0.9715629708255373,576390.6666666666,25.0
71,72.0,1.2397993735781572,4.109209801420846,1200000.0,2.8113759616072077e-06,1.8554331440405881e-06,0.012,0.2016293769346112,576390.6666666666,25.0
72,73.0,1.9757349081834708,82.00959564316594,1200000.0,2.9943508803405964e-05,7.914326652818781e-05,0.012,0.8210003476314995,616873.3333333334,25.0
73,74.0,1.2177075982834422,2.8880090407407906,1200000.0,2.1220479752281647e-06,3.545756724638552e-06,0.012,0.27351123221889106,337982.6666666667,25.0
74,75.0,2.165755716321269,99.99999732861272,1200000.0,2.6320815031835054e-05,8.323393770579187e-06,0.012,0.9356307555920478,715836.0,25.0
75,76.0,1.9738012370102231,81.68828775499084,1200000.0,3.849052280498589e-05,7.88760885238853e-05,0.012,0.8208047052077616,477428.0,25.0
76,77.0,2.1152036948179873,99.99999466001144,1200000.0,5.062828324982036e-05,8.479262061608936e-06,0.012,0.9999999117171183,337982.6666666667,25.0
77,78.0,2.0151455667977594,87.56827744165102,1200000.0,4.1870329026033806e-05,6.70320711061845e-05,0.012,0.76448259973542,477428.0,25.0
78,79.0,1.2432437467430102,3.7249989090212523,1200000.0,2.924656550823048e-06,2.6431314927914833e-06,0.012,0.23751059627530224,477428.0,25.0
79,80.0,2.039435153545875,99.99999729476164,1200000.0,5.081176991685643e-05,8.06202320173399e-06,0.012,0.9999998694271344,337982.6666666667,25.0
80,81.0,2.165569063298235,99.99999168526165,1200000.0,4.1015202982388716e-05,8.165763412694138e-06,0.012,0.9999997542201594,418948.0,25.0
81,82.0,2.1682221026837545,99.99998642853868,1200000.0,3.927252665470391e-05,8.397170072657368e-06,0.012,0.9999999510222968,436945.3333333333,25.0
82,83.0,1.9495770698686805,80.01840762972361,1200000.0,3.779031084799784e-05,8.331979955869629e-05,0.012,0.8453946085875774,477428.0,25.0
83,84.0,1.1567841342470724,2.7305487101538546,1200000.0,2.185825913475381e-06,5.9474124178516896e-06,0.012,0.26740575244505804,337982.6666666667,25.0
84,85.0,2.1759053107963315,99.99999695258212,1200000.0,3.595393739132599e-05,8.551758149611463e-06,0.012,0.9999991574763425,477428.0,25.0
85,86.0,2.033113256235852,81.34315237783194,1200000.0,3.857704461998668e-05,7.763664006898443e-05,0.012,0.8148160231448486,477428.0,25.0
86,87.0,1.2540099459090412,3.3388224716808708,1200000.0,2.1125534266810858e-06,4.366771847298713e-06,0.012,0.20388446124788817,576390.6666666666,25.0
87,88.0,1.1157453664105803,2.9235605610765987,1200000.0,1.8577933245573792e-06,4.202819216721977e-06,0.012,0.2527442648502128,436945.3333333333,25.0
88,89.0,2.0434211191302194,81.62689322976844,1200000.0,3.846449455611523e-05,7.880847140479622e-05,0.012,0.8201929192977612,477428.0,25.0
89,90.0,1.2927010087373774,3.8055116530277076,1200000.0,2.8913146189022706e-06,2.2141599412474507e-06,0.012,0.2139824767725209,477428.0,25.0
90,91.0,2.1391647370387705,99.99999894234142,1200000.0,4.533541105678285e-05,8.384658404679884e-06,0.012,0.9999997297294851,378465.3333333333,25.0
91,92.0,1.5501806208297582,17.844286793851282,1200000.0,3.159432886629635e-05,5.968305871709194e-08,0.012,0.03154529792184024,477428.0,25.0
92,93.0,2.2091337985052677,99.99998017010097,1200000.0,2.9876463889413912e-05,8.283453506086303e-06,0.012,0.9999985539268096,576390.6666666666,25.0
93,94.0,2.114930789344019,99.99999729006248,1200000.0,3.016518449954161e-05,8.383202227737503e-06,0.012,0.942161419654189,616873.3333333334,25.0
94,95.0,1.3838238975813633,2.741961324835131,1200000.0,2.1081681020675586e-06,5.5576008464391525e-06,0.012,0.2856305062070573,337982.6666666667,25.0
95,96.0,1.2446571944735054,3.1401733847084543,1200000.0,2.2437862293025004e-06,3.6949581881279584e-06,0.012,0.2680247817106538,418948.0,25.0
96,97.0,2.1146229780364343,99.99998631866872,1200000.0,5.0702340180662905e-05,8.461734689154395e-06,0.012,0.9999999030839777,337982.6666666667,25.0
97,98.0,2.0827156975570738,99.99998357715646,1200000.0,3.603662049141823e-05,8.293234568590866e-06,0.012,0.9999994789469255,477428.0,25.0
98,99.0,1.242704777621045,2.678925518199314,1200000.0,2.041829739621957e-06,6.075722942200521e-06,0.012,0.2857733801863022,337982.6666666667,25.0
99,100.0,1.0956189100391267,4.250939935985258,1200000.0,2.8827680144532668e-06,1.773220666964151e-06,0.012,0.19986818623711045,616873.3333333334,25.0
100,101.0,1.1612924103588111,3.0035346607284126,1200000.0,2.230233074341183e-06,4.076795335450242e-06,0.012,0.27126582541483546,378465.3333333333,25.0
101,102.0,1.2631143282959567,4.060342950201232,1200000.0,2.853928616679884e-06,2.7272206352465936e-06,0.012,0.15394114608299392,616873.3333333334,25.0
102,103.0,2.091732209769321,99.99999742183925,1200000.0,3.9322412236257765e-05,8.327412728879695e-06,0.012,0.9999998086119295,436945.3333333333,25.0
103,104.0,2.1027002053683463,82.8679268861963,1200000.0,4.009349730190055e-05,7.137366526427403e-05,0.012,0.8168133682334424,477428.0,25.0
104,105.0,2.0171125553946117,99.99997972898923,1200000.0,4.0921128044423504e-05,8.477466064527609e-06,0.012,0.9999999038498999,418948.0,25.0
105,106.0,1.2449315148878188,2.807542025775575,1200000.0,1.7793564929510016e-06,5.123781073509674e-06,0.012,0.25077071481360885,436945.3333333333,25.0
106,107.0,2.1737247441154395,99.99999195101313,1200000.0,3.321324525490185e-05,8.27188839543657e-06,0.012,0.9999999432125485,517910.6666666667,25.0
107,108.0,1.1639304908200956,2.8413945585877016,1200000.0,1.6158175939903302e-06,4.349748002102398e-06,0.012,0.23374783386327241,477428.0,25.0
108,109.0,2.1673125929746573,81.62118553386217,1200000.0,3.824623784914879e-05,7.829813589051342e-05,0.012,0.816825811674036,477428.0,25.0
109,110.0,2.039215827462389,85.70773096913993,1200000.0,3.887991913182488e-05,7.422955429921873e-05,0.012,0.7930064651206488,517910.6666666667,25.0
110,111.0,1.1564800030524391,2.597843424375057,1200000.0,1.6918238630854744e-06,5.41524237054242e-06,0.012,0.24741038824003458,378465.3333333333,25.0
111,112.0,1.1877026452941088,3.035999973001701,1200000.0,1.633274817917815e-06,4.834405420569913e-06,0.012,0.18913204867901545,616873.3333333334,25.0
112,113.0,1.952889423070947,80.64708195597643,1200000.0,3.658586476177864e-05,7.808901818416128e-05,0.012,0.8256578211441419,477428.0,25.0
113,114.0,2.0000228263012465,99.99999715468132,1200000.0,4.543123572286805e-05,8.323745032217894e-06,0.012,0.999999917166155,378465.3333333333,25.0
