,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
19,20.0,1.2647826102316202,3.056214389880317,1200000.0,2.2167134216158173e-06,4.611789862621029e-06,0.012,616873.3333333334,25.0
20,21.0,1.4262657420783431,2.9659932497766945,1200000.0,2.467445550715607e-06,3.839878898386844e-06,0.012,477428.0,25.0
21,22.0,1.4743273644210066,2.5014531014816086,1200000.0,2.5940032107012387e-06,5.420365589324688e-06,0.012,337982.6666666667,25.0
22,23.0,1.3792693006353371,2.4372568587091834,1200000.0,2.389087929742623e-06,5.385523571789483e-06,0.012,337982.6666666667,25.0
23,24.0,1.4179162879784537,2.462480848383862,1200000.0,2.100874670569104e-06,3.882132369866073e-06,0.012,337982.6666666667,25.0
24,25.0,1.2529941630449724,2.8376360717197073,1200000.0,2.1231363661677947e-06,5.685002695465261e-06,0.012,576390.6666666666,25.0
25,26.0,1.3486085313704175,2.567013323159138,1200000.0,1.8982761387440267e-06,4.049706802710389e-06,0.012,436945.3333333333,25.0
26,27.0,1.2852359600895649,5.822350565948845,1200000.0,5.161201583271553e-06,2.2051407688131338e-06,0.012,715836.0,25.0
27,28.0,1.4318503284429214,2.6826741755804875,1200000.0,2.190018328140808e-06,3.935361477336266e-06,0.012,418948.0,25.0
28,29.0,1.3021397831531791,2.517296121167611,1200000.0,1.641823157272156e-06,3.5043886133002977e-06,0.012,436945.3333333333,25.0
29,30.0,1.5238225799526974,2.260423602210416,1200000.0,1.8625512894179891e-06,5.103595230856393e-06,0.012,337982.6666666667,25.0
30,31.0,1.394903038244632,2.042848475499568,1200000.0,1.4817104606026089e-06,6.136757506356378e-06,0.012,337982.6666666667,25.0
31,32.0,1.2265051741669488,2.9069829106492406,1200000.0,1.8225058348337401e-06,3.734412382519546e-06,0.012,616873.3333333334,25.0
32,33.0,1.3663446331866023,2.8325283359100766,1200000.0,2.9056254415614906e-06,4.2179951894643895e-06,0.012,378465.3333333333,25.0
33,34.0,1.3552445512169715,2.462390474911018,1200000.0,1.6946920328414806e-06,3.0632819663984527e-06,0.012,337982.6666666667,25.0
34,35.0,1.242132372734907,2.8007861479176483,1200000.0,2.3546717689973607e-06,4.806808832600425e-06,0.012,477428.0,25.0
35,36.0,1.3370614631823794,2.7300345471488896,1200000.0,2.0208367411935085e-06,4.688671265817664e-06,0.012,517910.6666666667,25.0
36,37.0,1.2017947733135195,2.977746153909237,1200000.0,2.356227793009447e-06,5.406444210444438e-06,0.012,576390.6666666666,25.0
37,38.0,1.4676197766392587,2.6218200822729756,1200000.0,2.0124138509857757e-06,3.2283549198547332e-06,0.012,378465.3333333333,25.0
38,39.0,1.2762592857699475,3.3132940201235925,1200000.0,2.8106210570115657e-06,2.8384033256425735e-06,0.012,477428.0,25.0
39,40.0,1.4541237120882795,2.184492860470016,1200000.0,1.7362144471289641e-06,6.9862424818901075e-06,0.012,378465.3333333333,25.0
40,41.0,1.3486378282358533,2.6467821049186853,1200000.0,1.8631997948559786e-06,4.0668100268226404e-06,0.012,477428.0,25.0
41,42.0,1.239983115948522,5.193199479754696,1200000.0,4.55410382669618e-06,1.8994890536947815e-06,0.012,616873.3333333334,25.0
42,43.0,1.4678924638839277,2.6313108002793157,1200000.0,1.966664224760224e-06,4.546989840929423e-06,0.012,477428.0,25.0
43,44.0,1.3395475552467362,3.2058579401805005,1200000.0,2.0368424848928355e-06,4.0040256324750965e-06,0.012,715836.0,25.0
44,45.0,1.155231019547224,2.682451359373033,1200000.0,1.966709215585783e-06,4.888352346590257e-06,0.012,517910.6666666667,25.0
45,46.0,1.5361402254539944,2.308817824185205,1200000.0,2.0641105141325396e-06,4.42905789569061e-06,0.012,297500.0,25.0
46,47.0,1.3724280719323876,2.634406831662112,1200000.0,1.9085938031525797e-06,4.25625960115458e-06,0.012,477428.0,25.0
47,48.0,1.3116080497931903,2.6849480474015053,1200000.0,1.7949921310813881e-06,3.081987294351457e-06,0.012,436945.3333333333,25.0
