,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
36,37.0,1.0694032139196539,5.854472553607636,1200000.0,2.4309400893974837e-06,1.101722476683834e-06,0.011,0.1307041507450567,890902.0,25.0
37,38.0,1.2111312667441103,5.288012455614741,1200000.0,1.990808527308513e-06,1.3760212052882595e-06,0.011,0.13188893724266615,1004509.6,25.0
38,39.0,1.0600461211340793,5.542169814393631,1200000.0,2.1341658949774193e-06,1.2701041298817257e-06,0.011,0.135354290635052,1004509.6,25.0
39,40.0,1.0189575263735262,5.259729863947712,1200000.0,2.0743186056142635e-06,1.3677368746343449e-06,0.011,0.12703529822012072,888583.2,25.0
40,41.0,0.9646023568309656,4.945884432757708,1200000.0,1.9703403679002834e-06,1.5157827787264222e-06,0.011,0.1169250886939715,822956.4,25.0
41,42.0,1.129340282377229,5.943552665248568,1200000.0,2.395744576025774e-06,1.1161810503218912e-06,0.011,0.13243836914456547,999232.8,25.0
42,43.0,1.0444853548212607,5.984965025605163,1200000.0,2.4852611716544605e-06,1.1340107567144885e-06,0.011,0.14062830226764578,1012173.2,25.0
43,44.0,1.1256692660832108,4.913191394797394,1200000.0,1.9386254249507143e-06,1.5202972589753208e-06,0.011,0.12773456313493825,856929.2,25.0
44,45.0,1.0341614165336037,5.826057468229649,1200000.0,2.4784195889452186e-06,1.2128622251494407e-06,0.011,0.12449862745377221,909615.6,25.0
45,46.0,1.0656170195544614,6.081141803666597,1200000.0,2.4249979968800854e-06,1.0932399825817104e-06,0.011,0.13202935152712791,1033205.6,25.0
46,47.0,1.043438399380223,5.647811829132607,1200000.0,2.2433526405883937e-06,1.2696406023710803e-06,0.011,0.13008011587317336,1007467.6,25.0
47,48.0,1.0333251833186408,6.5278560633244425,1200000.0,2.6066258397646776e-06,9.357678369960152e-07,0.011,0.13399757278959074,1064859.6,25.0
48,49.0,0.9839887306676071,6.666990542228703,1200000.0,3.0252734493522516e-06,9.072114582823655e-07,0.011,0.13637353047444734,967578.8,25.0
49,50.0,1.0699215773197661,5.303831195359365,1200000.0,2.065393813477598e-06,1.348639359851115e-06,0.011,0.12008892034924257,864592.8,25.0
