,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,c_T,U_0,I_0,V_0,T_0
126,127.0,1.0917229562446735,4.7169226975907255e-05,4.890850679086379e-07,1.0,12.398353725983583,0.012,0.21062886855279572,13.124795004725456,2.3048883912579754e-09,1000000.0,0.0,25.0,477428.0
127,128.0,1.1161986490366018,4.4635279324278404e-05,4.90110897388898e-07,1.0,10.852335156713771,0.012,0.15969142364853184,44.09461905807257,1.260075377373937e-11,1000000.0,0.0,25.0,715836.0
128,129.0,1.2764388911741575,4.1336989373259e-05,5.305645675250236e-07,1.0,11.006850813254239,0.012,0.1985008483752182,10.002636320888996,0.0049993818812560376,1000000.0,0.0,25.0,477428.0
129,130.0,1.223960756745546,4.4111155030516905e-05,4.870624739782855e-07,1.0,11.689736479476046,0.012,0.22459084070943192,10.000000260770321,0.02884257059764972,1000000.0,0.0,25.0,378465.3333333333
130,131.0,1.0209221748627946,4.343202101562384e-05,3.8964227313761403e-07,1.0,11.748995490372067,0.012,0.2539768012515182,83.45112806558609,4.24483781458207e-10,1000000.0,0.0,25.0,517910.6666666667
131,132.0,1.0383528263881847,4.259667001376644e-05,4.1959310861529846e-07,1.0,11.069946276033406,0.012,0.21510893638677686,10.0,0.056479914032093737,1000000.0,0.0,25.0,436945.3333333333
132,133.0,1.1030688058732547,3.0703920688882874e-05,5.122124571724446e-07,1.0,8.427185308132167,0.012,0.22051667477456505,10.00001097470522,0.032436033170817835,1000000.0,0.0,25.0,418948.0
133,134.0,1.0483062086123542,4.0928187447567103e-05,4.329886765064731e-07,1.0,11.254488102023728,0.012,0.22635364069228103,123.6695904135704,7.380202005080605e-11,1000000.0,0.0,25.0,616873.3333333334
134,135.0,1.0447846452605165,4.5428171593797866e-05,4.4125070933339824e-07,1.0,11.404789362463447,0.012,0.23020700272634542,21.247352205216885,1.7607689195564546e-09,1000000.0,0.0,25.0,477428.0
135,136.0,1.0533477534459208,5.830513527295858e-05,4.843934880318688e-07,1.0,16.408913617502307,0.012,0.17848033206190905,10.000116437673569,4.4196615811564754e-09,1000000.0,0.0,25.0,576390.6666666666
136,137.0,1.1069695529342012,5.934226277146333e-05,4.5801555489298024e-07,1.0,16.58114482709869,0.012,0.2391592698948486,10.000000670552254,0.010093727212942494,1000000.0,0.0,25.0,378465.3333333333
137,138.0,1.1073144812596591,4.062627835893881e-05,4.533247589035908e-07,1.0,11.201171018257817,0.012,0.205834013623992,23.212821178138256,2.937301790684188e-09,1000000.0,0.0,25.0,576390.6666666666
138,139.0,1.1360042936226116,6.146566470118255e-05,3.858471746367206e-07,1.0,17.208068576730312,0.012,0.2516126355227044,10.000000223517418,0.029118673383711047,1000000.0,0.0,25.0,378465.3333333333
139,140.0,1.104889666519262,4.056579575471229e-05,4.997901433611776e-07,1.0,10.380078121909506,0.012,0.22553944804257497,10.000000052154064,0.02980373241441714,1000000.0,0.0,25.0,378465.3333333333
140,141.0,1.00535859279585,5.32935086996997e-05,4.797647646192265e-07,1.0,14.35254351102816,0.012,0.21165674143086477,10.000054471194744,0.017615874641944418,1000000.0,0.0,25.0,436945.3333333333
141,142.0,1.195439933346281,1.790032005962924e-05,3.54417226990821e-06,1.0,1.3981234370230027,0.012,0.17236099209728906,10.00000000745058,2.3695490014574716e-12,1000000.0,0.0,25.0,616873.3333333334
142,143.0,1.0505703432045568,4.185365722841912e-05,4.5849990454799517e-07,1.0,11.084956497728214,0.012,0.22130933404566377,42.50364687293768,0.007176817977564531,1000000.0,0.0,25.0,517910.6666666667
143,144.0,1.1485358749228152,4.884723747509755e-05,4.869660069124369e-07,1.0,13.289259533223365,0.012,0.23429323187103535,10.000000029802322,0.03686007251524648,1000000.0,0.0,25.0,337982.6666666667
144,145.0,1.26983418211024,2.1171196577918834e-05,5.617926338897669e-06,1.0,1.4164784993691129,0.012,0.1770603797256456,70.83278575539589,1.183197984033768e-11,1000000.0,0.0,25.0,616873.3333333334
145,146.0,1.1435908790079954,5.636967924528473e-05,4.614240039931244e-07,1.0,15.880965605001492,0.012,0.211885199447984,27.70225827395916,8.463593191870844e-05,1000000.0,0.0,25.0,517910.6666666667
146,147.0,1.092318359877849,6.885801541937428e-05,3.8122100204763756e-07,1.0,18.534326910541502,0.012,0.2562011234162611,83.37002018094063,4.783104468053523e-10,1000000.0,0.0,25.0,477428.0
147,148.0,1.2241725243996406,1.970359067804707e-05,4.805747262476959e-06,1.0,1.4236667090911652,0.012,0.19412601579501398,63.500720873475075,5.779265954686252e-13,1000000.0,0.0,25.0,616873.3333333334
148,149.0,1.1962956576611437,1.5163685015387882e-05,4.439135007594232e-06,1.0,1.6855655111221566,0.012,0.22208818242548745,10.00000000745058,0.05753654004984338,1000000.0,0.0,25.0,337982.6666666667
149,150.0,1.1671252008658888,5.0331010714090046e-05,3.9267420860366524e-07,1.0,13.752223007260184,0.012,0.23800514983588528,10.000000335276127,0.013898047860135432,1000000.0,0.0,25.0,436945.3333333333
150,151.0,1.0974422995741526,3.840677065923084e-05,4.791983120679526e-07,1.0,10.4340838353857,0.012,0.2183558612382157,10.00000175088644,2.5532147784890213e-08,1000000.0,0.0,25.0,477428.0
151,152.0,1.2207282586818404,3.1900254945454385e-05,5.880019409349363e-07,1.0,7.858243785751128,0.012,0.14164523123836403,10.000000163912773,7.382428002244978e-13,1000000.0,0.0,25.0,715836.0
152,153.0,1.0180183251781596,5.4071500054294364e-05,4.839224948693135e-07,1.0,13.478647164195216,0.012,0.23025582807335354,10.000000640749931,0.016309720063577948,1000000.0,0.0,25.0,378465.3333333333
153,154.0,1.1276642879915322,4.131705354319949e-05,4.51161153555574e-07,1.0,10.491259802443587,0.012,0.23996600943422663,22.188902832567692,2.181672620338304e-10,1000000.0,0.0,25.0,436945.3333333333
154,155.0,1.1571434318389464,1.5546518086537867e-05,3.4981923068432667e-06,1.0,1.578873688826306,0.012,0.22366775401775385,10.0,6.3382077364337874e-12,1000000.0,0.0,25.0,436945.3333333333
155,156.0,1.118435366260327,6.318232878255582e-05,3.891040030108738e-07,1.0,17.154405786199817,0.012,0.24268309730207704,10.000000827014446,9.355095031970961e-10,1000000.0,0.0,25.0,436945.3333333333
156,157.0,1.0435635106767736,5.481048116058005e-05,4.214653711047991e-07,1.0,16.443569440920534,0.012,0.24372844386628145,10.00000013411045,6.789705520038325e-09,1000000.0,0.0,25.0,418948.0
